,0
000,0.5800829256895137
005,0.1380827836846157
08388,0.05710459961798126
10,0.5250358266597932
100,0.25453720935343915
100ofglobaleconomicvaluecr,0.09334786565362714
104,0.07597467681169078
1100,0.11841235597402673
117,0.11236978114824196
12,0.1505963057879789
125,0.20319025699422144
13,0.3540746891736743
1300,0.07597467681169078
14,0.1572967356203695
15,0.09009127014838321
150,0.12065474232126033
154,0.051378985630023355
16,0.23471393952994635
160,0.09465112283480696
17,0.1611875568500069
170,0.08328346489862956
172,0.10690398792132949
18,0.33869102547022417
1861,0.09618801979254127
19,0.051378985630023355
1912,0.05710459961798126
1980s,0.09130108068861567
1982,0.1361024875217298
1m,0.07358225080141553
20,0.41627442024538375
200,0.08536765808035959
2000,0.2527907498349926
2007,0.06500324388456476
2009,0.1302566979919067
2010,0.14918684034348995
2011,0.20642842263209865
2012,0.18042310973825346
2014,0.11684331589045763
2015,0.21307747109360942
2016,0.6335873261742658
2017,0.3955194955377138
2018,0.48927341878795183
2019,0.18320668948723348
2020,0.5403863723951857
2021,0.15713224276784882
2022,0.10230218898738455
22,0.2670641018013639
220,0.09142417209182667
23,0.29787268522673865
231,0.08445645725781233
24,0.1921491099222809
243,0.1079569979491587
25,0.18411241472876616
26,0.09688776163076451
26000,0.08328346489862956
273,0.051378985630023355
28,0.06901161897612539
283,0.10673552397755023
285,0.07199963143426787
29,0.14755485144346805
30,0.5599468516673749
31,0.15905529668310658
32,0.15872490059803043
328,0.11434973251262814
3450300,0.22342619826348978
35,0.20179321318853155
36,0.1347449871937836
368,0.06807739200917393
37,0.1343490802107989
3e,0.08717523118921532
3rd,0.11413955325486362
3yzrb3i,0.07629333305401094
40,0.09142417209182667
42,0.11657956066491879
439,0.07597467681169078
45,0.16216038805110994
48b,0.13316600828536096
50,0.17058310714552166
500,0.12065474232126033
524,0.08939444515270151
53,0.04695358668021807
56,0.06154167274061641
57,0.09882178627572227
58,0.10051557046060079
59,0.11434973251262814
60,0.11088691846615892
63,0.04695358668021807
65,0.32563541826158293
66,0.16502475481504641
676,0.10673552397755023
6771,0.09755299057251611
689,0.062389042781225194
69,0.10863169967863423
70,0.2008837545649623
71,0.07358225080141553
72,0.07141908301534257
724,0.10124992416101179
73,0.07358225080141553
75,0.07358225080141553
77,0.03884210842614529
79,0.07358225080141553
7th,0.0630272873151897
80,0.15029691475125367
800,0.10968473800003922
800isenougheventhough1,0.08732457843173819
81,0.053565787075576174
82,0.053565787075576174
84,0.053565787075576174
85,0.08157929589219629
859,0.09142417209182667
884,0.09924713282206715
89,0.09778138638115462
90,0.24534340923196613
92,0.08157929589219629
960,0.09142417209182667
97,0.04695358668021807
aa,0.33867076307938376
aaai,0.05710459961798126
ab,0.05710459961798126
abandon,0.1179216243016725
abat,0.08789263785937679
abid,0.16839892438410203
abil,2.3128887443099817
abl,1.4665272003193732
abolitionist,0.2800986882011081
absenc,0.4585980307108617
absent,0.37029305751873215
absolut,0.15249376578490836
absorb,0.09149882126298693
